problem,user,attempt timestamp,submission timestamp,result
116,2,1341261294,1341261298,0
116,2,1341318311,1341318344,1
117,2,1341321468,1341321567,1
116,2,1341323932,1341324020,0
116,2,1341324090,0,0
116,5,1341326179,1341326246,1
116,10,1341335866,1341335885,1
117,5,1341339624,1341339695,1
118,5,1341340038,1341340074,1
119,5,1341340791,1341340823,1
120,5,1341340903,1341340920,1
121,5,1341341100,1341341124,1
120,2,1341341211,1341341223,1
116,12,1341344304,1341344762,1
123,5,1341389389,1341389434,1
116,4,1341394609,1341394638,1
125,5,1341404506,1341404600,1
126,5,1341406308,1341406336,1
117,4,1341406842,1341406870,1
123,4,1341407089,1341407110,1
126,4,1341407338,1341407371,1
127,5,1341407723,1341407757,1
131,4,1341408067,1341408092,1
129,5,1341408359,1341408445,1
143,4,1341409185,1341409203,1
121,4,1341409370,1341409386,1
125,4,1341411578,1341411620,1
118,4,1341412348,1341412368,1
131,5,1341412470,1341412496,1
119,4,1341412567,1341412581,1
130,4,1341413185,1341413202,1
140,5,1341413677,1341413707,1
144,4,1341414343,1341414357,1
137,5,1341414768,1341414803,0
122,4,1341415985,1341415999,1
120,4,1341416670,1341416687,1
137,5,1341417218,1341417249,1
140,4,1341417620,1341417635,1
141,4,1341417752,1341417779,1
116,14,1341418693,1341418978,1
129,4,1341419235,1341419268,1
137,4,1341420199,1341420218,1
128,4,1341420239,1341420254,1
138,4,1341421776,1341421806,1
124,4,1341440621,0,0
124,4,1341468575,1341468610,1
128,5,1341484053,1341484072,1
130,5,1341487724,1341487745,1
138,5,1341502350,1341502413,1
116,8,1341507596,1341507721,1
117,8,1341507736,1341507780,1
118,8,1341507874,1341507919,1
119,8,1341507928,1341507963,1
116,15,1341531498,1341531905,0
116,15,1341531985,1341532052,1
117,15,1341544708,1341544789,1
118,15,1341544920,1341544945,1
116,5,1341559912,1341559933,0
141,5,1341561284,1341561305,1
142,5,1341563900,1341563922,1
142,5,1341567835,1341567862,1
116,3,1341568039,1341568078,1
142,5,1341568993,1341569034,1
117,3,1341569792,1341569842,1
121,3,1341569930,1341569973,1
120,3,1341569984,1341569998,1
118,3,1341570035,1341570067,1
140,3,1341570099,1341570136,1
146,5,1341572215,1341572240,0
146,5,1341575187,1341575210,1
124,5,1341578546,1341578576,1
139,5,1341578819,1341578863,0
139,5,1341579417,1341579656,1
141,3,1341582462,1341582529,1
119,3,1341583063,1341583255,1
130,3,1341583307,1341583401,1
123,3,1341584464,1341584554,0
123,3,1341584656,1341584760,0
123,3,1341585344,1341585440,0
123,3,1341587085,0,0
122,5,1341588571,0,0
123,3,1341588758,1341588849,0
123,3,1341588910,1341588991,0
123,3,1341589166,1341589245,1
122,5,1341589499,1341589524,1
143,5,1341590040,1341590103,1
144,5,1341590323,1341590348,1
145,5,1341591235,1341591263,0
147,5,1341665842,1341665868,1
116,16,1341688755,1341688811,0
116,16,1341688873,1341688893,0
116,16,1341688954,1341688969,1
117,16,1341689779,1341689794,0
117,16,1341689855,1341689876,1
118,16,1341690047,1341690169,1
121,8,1341755930,1341756001,1
123,8,1341756082,1341756113,0
123,8,1341756174,1341756206,0
116,17,1341815874,1341815918,1
117,17,1341816689,1341816717,1
123,17,1341819192,1341819227,1
126,17,1341821441,1341821549,1
116,1,1341826286,1341826510,1
126,3,1341878917,0,0
134,5,1341906509,1341906550,1
135,5,1341911126,1341911211,1
136,5,1341912154,1341912271,1
136,5,1341912843,0,0
116,18,1342004421,1342004497,1
117,18,1342005112,1342005157,1
118,18,1342005544,1342005558,1
120,18,1342006125,1342006137,1
121,18,1342006368,1342006427,1
125,18,1342007468,1342007498,1
123,18,1342008752,1342008765,1
119,18,1342010813,1342010830,0
119,18,1342010913,1342010940,1
130,18,1342011618,1342011641,1
125,17,1342168966,1342168998,1
123,2,1342187492,1342187516,1
126,2,1342342013,1342342049,0
126,2,1342342188,1342342220,1
131,2,1342342232,1342342403,1
121,2,1342347553,0,0
132,2,1342351083,0,0
175,2,1342361682,1342361719,1
116,21,1342427900,1342428025,1
117,21,1342429234,1342429309,1
118,21,1342432208,1342432255,1
119,21,1342435532,1342435590,1
121,21,1342437637,1342437692,1
123,21,1342438762,1342438822,1
116,23,1342462373,0,0
116,23,1342463048,0,0
127,21,1342463759,1342463889,0
182,5,1342518763,1342518799,1
124,18,1342528584,0,0
175,18,1342529270,1342529327,1
176,18,1342529605,0,0
176,18,1342529921,1342530054,1
116,23,1342535554,1342535584,1
117,2,1342601132,0,0
184,5,1342604354,1342604413,1
176,21,1342618823,1342618871,0
176,21,1342618931,1342618987,1
125,21,1342621458,1342621492,1
129,21,1342624128,0,0
116,25,1342684738,0,0
116,25,1342686113,1342686169,1
117,25,1342686960,1342687005,1
118,25,1342687762,1342687793,1
122,18,1342694602,1342694635,0
119,25,1342700961,1342700997,0
122,18,1342701855,1342701966,1
126,18,1342704552,1342704591,1
131,18,1342704843,1342704866,1
134,18,1342705567,1342705593,1
117,1,1342731416,1342731477,1
118,1,1342734270,1342734318,0
118,1,1342734409,1342734437,1
176,5,1342781443,1342781474,1
116,26,1342788284,0,0
189,18,1342792315,1342792382,1
188,5,1342796717,1342796810,1
121,1,1342802637,1342802667,1
129,21,1342900411,1342900488,0
129,21,1342907257,0,0
129,21,1342908221,1342908251,1
116,2,1342944862,1342944865,0
116,27,1342964648,1342964711,1
117,27,1342966406,1342966445,1
137,21,1342972882,1342972910,0
137,21,1342973018,1342973049,0
137,21,1342975907,1342975933,1
130,21,1343032431,1343032473,1
190,18,1343032690,1343032706,0
190,18,1343033185,1343033321,1
175,21,1343035981,1343036004,1
120,21,1343038500,1343038514,1
126,21,1343039027,1343039076,1
131,21,1343045567,1343045599,1
116,28,1343046958,0,0
189,21,1343048426,1343048459,1
116,28,1343048540,1343048598,0
189,21,1343048672,1343048710,0
116,28,1343048686,1343048752,1
128,21,1343050663,0,0
189,21,1343051031,1343051072,1
189,5,1343051467,1343051530,1
128,21,1343051680,1343051715,1
189,5,1343051694,1343051743,1
189,21,1343052111,1343052168,1
189,21,1343055871,1343055899,1
189,21,1343055983,1343056055,1
189,5,1343056111,1343056140,0
189,21,1343056217,1343056245,1
189,21,1343056342,1343056382,1
189,5,1343056455,1343056483,1
189,21,1343056476,1343056501,1
189,5,1343056580,1343056737,1
189,21,1343056743,1343056781,1
189,21,1343056901,1343056922,1
189,21,1343056989,1343057021,1
190,21,1343058902,1343058963,0
190,21,1343059105,1343059158,0
190,21,1343059222,1343059297,0
190,21,1343059378,1343059426,0
117,28,1343064826,1343064878,1
118,28,1343065459,1343065499,1
116,29,1343070980,1343071151,1
117,29,1343071486,1343071559,1
189,21,1343073885,1343073925,1
189,21,1343073986,1343074012,1
190,21,1343077193,1343077322,0
190,21,1343077385,1343077440,0
123,8,1343079745,1343079866,0
123,8,1343079928,1343079953,1
119,25,1343117381,1343117449,0
190,21,1343117786,1343117860,1
116,30,1343121492,1343121528,1
119,25,1343121971,1343121997,1
117,30,1343122483,1343122509,1
118,30,1343124029,1343124058,1
119,30,1343126940,1343126974,0
119,30,1343127091,1343127123,0
119,30,1343127796,1343127846,0
119,30,1343128024,1343128074,0
119,30,1343128421,1343128448,0
119,30,1343128515,1343128552,0
119,30,1343128658,1343128697,0
119,30,1343129455,1343129477,0
119,30,1343129836,1343129861,1
121,29,1343130021,1343130068,1
121,30,1343130505,1343130533,1
123,30,1343131389,1343131445,1
193,18,1343133116,1343133212,1
